age,gender,degree,born_US,Family_income,nation_education,nation_race,nation_arms,nation_welfare,Assistance_to_the_poor,Assistance_to_other_countries,social_security,pres16,tax,Immigration,race
62,Male,High School,Yes,"$130,000 ~ $169,999",Too little,Too much,About right,Too much,NA,NA,Too much,Trump,1,NA,white
62,Female,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,NA,NA,white
33,Male,High School,Yes,"$60,000 ~ $89,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,2,Strongly disagree,white
72,Female,High School,Yes,"$60,000 ~ $89,999",Too little,Too little,About right,About right,NA,NA,Too little,Clinton,NA,Neither,white
64,Female,Graduate,Yes,"$60,000 ~ $89,999",Too little,Too little,About right,Too little,NA,NA,Too little,Clinton,NA,Neither,black
42,Male,Bachelors,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,2,NA,white
73,Female,Bachelors,Yes,"$90,000 ~ $129,999",About right,About right,About right,About right,NA,NA,About right,Clinton,2,NA,white
49,Male,Bachelors,Yes,NA,NA,NA,NA,NA,Too little,About right,Too little,Clinton,2,Disagree,white
63,Female,Less than high school,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,1,NA,black
32,Female,Bachelors,Yes,"$40,000 ~ $59,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,2,NA,black
65,Male,Bachelors,Yes,"$10,000 ~ $19,999",Too little,Too little,Too much,Too little,NA,NA,About right,Clinton,2,Disagree,white
71,Female,Bachelors,Yes,"$170,000 or over",Too little,Too little,Too little,Too little,NA,NA,Too little,Clinton,2,NA,white
43,Male,High School,Yes,"$170,000 or over",Too little,Too little,Too much,About right,NA,NA,Too little,Clinton,1,Disagree,white
55,Female,Bachelors,Yes,"$170,000 or over",Too little,Too little,About right,About right,NA,NA,About right,Clinton,NA,Disagree,white
33,Female,High School,Yes,"$10,000 ~ $19,999",Too little,Too little,About right,Too little,NA,NA,Too little,Clinton,1,Neither,white
55,Female,Associate College,Yes,"$40,000 ~ $59,999",Too little,Too little,About right,Too little,NA,NA,Too little,Other,1,Disagree,black
66,Male,Associate College,Yes,"$20,000 ~ $39,999",About right,Too little,About right,Too little,NA,NA,Too little,Clinton,NA,Strongly agree,white
74,Male,Graduate,Yes,"$90,000 ~ $129,999",Too little,Too little,About right,Too little,NA,NA,About right,Clinton,NA,Neither,white
NA,Female,Graduate,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,NA,NA,white
51,Male,Bachelors,Yes,"$170,000 or over",Too little,About right,Too little,Too much,NA,NA,Too little,Trump,1,Strongly agree,white
66,Female,Bachelors,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,1,NA,white
70,Male,High School,Yes,"$130,000 ~ $169,999",Too little,About right,About right,Too much,NA,NA,Too little,Trump,2,NA,white
NA,Female,Graduate,Yes,"$130,000 ~ $169,999",Too little,Too little,Too much,About right,NA,NA,Too little,Did not vote,1,Agree,other
57,Female,Associate College,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,1,Agree,white
41,Male,Bachelors,Yes,"$90,000 ~ $129,999",Too much,About right,Too much,Too much,NA,NA,About right,Other,NA,Agree,white
56,Male,High School,Yes,NA,Too little,Too little,Too little,Too much,NA,NA,Too little,Trump,1,NA,white
46,Female,Associate College,Yes,"$130,000 ~ $169,999",Too little,Too much,Too little,Too much,NA,NA,Too little,Trump,2,Strongly agree,white
41,Female,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,About right,About right,Too little,Clinton,1,NA,white
61,Male,Graduate,No,"$170,000 or over",Too much,Too little,Too much,Too little,NA,NA,About right,Clinton,NA,Disagree,asian
79,Male,Graduate,No,"$170,000 or over",NA,NA,NA,NA,Too little,About right,Too little,Clinton,1,Strongly disagree,white
38,Male,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,About right,Too much,About right,Did not vote,1,NA,white
64,Female,Bachelors,Yes,"$40,000 ~ $59,999",Too little,Too little,About right,Too little,NA,NA,Too little,Clinton,NA,Neither,black
28,Male,Graduate,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too little,About right,Clinton,NA,NA,white
33,Male,Graduate,Yes,"$60,000 ~ $89,999",Too little,Too little,Too much,Too little,NA,NA,About right,Clinton,NA,Disagree,black
38,Female,Bachelors,Yes,"$170,000 or over",NA,NA,NA,NA,About right,Too much,About right,Other,2,Disagree,white
32,Female,Graduate,No,"$90,000 ~ $129,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,2,NA,white
NA,NA,High School,Yes,"Under $10,000",NA,NA,NA,NA,About right,Too much,Too little,Trump,2,Neither,white
71,Female,Bachelors,No,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,About right,Trump,1,NA,white
89,Female,Bachelors,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,Too little,About right,Clinton,2,Disagree,white
73,Male,Bachelors,Yes,"$130,000 ~ $169,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,2,Disagree,black
38,Female,Bachelors,Yes,"$170,000 or over",About right,About right,Too much,About right,NA,NA,Too little,Other,NA,Disagree,white
59,Female,High School,Yes,"$60,000 ~ $89,999",Too little,Too much,Too little,Too much,NA,NA,Too little,Trump,2,NA,white
56,Female,High School,Yes,"$60,000 ~ $89,999",About right,About right,Too little,Too much,NA,NA,Too little,Clinton,NA,Neither,white
25,Male,Bachelors,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,About right,Clinton,NA,NA,white
24,Female,Bachelors,Yes,"$170,000 or over",Too little,Too little,Too much,Too little,NA,NA,Too little,Other,NA,Strongly disagree,white
40,Female,Graduate,Yes,"$170,000 or over",Too little,Too little,Too much,About right,NA,NA,About right,Clinton,NA,Disagree,white
61,Female,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,About right,About right,About right,Clinton,NA,NA,white
67,Female,Graduate,Yes,"$170,000 or over",Too little,Too little,Too much,Too little,NA,NA,About right,Clinton,3,Disagree,white
25,Female,Bachelors,No,"$60,000 ~ $89,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,2,Disagree,asian
84,Female,Bachelors,Yes,"$90,000 ~ $129,999",Too little,Too little,About right,Too little,NA,NA,About right,Clinton,2,Disagree,white
36,Female,Bachelors,Yes,"$90,000 ~ $129,999",Too little,Too little,Too much,About right,NA,NA,Too little,Clinton,1,NA,white
67,Male,Associate College,Yes,"$90,000 ~ $129,999",Too little,About right,Too little,About right,NA,NA,Too little,Trump,NA,Strongly agree,white
53,Female,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,About right,Too little,Clinton,NA,NA,white
74,Female,Graduate,Yes,"$130,000 ~ $169,999",Too little,Too little,Too much,About right,NA,NA,About right,Clinton,3,Disagree,white
66,Female,High School,Yes,"Under $10,000",NA,NA,NA,NA,Too little,About right,Too little,Clinton,2,Disagree,white
46,Female,Bachelors,Yes,"$130,000 ~ $169,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,NA,NA,white
NA,Female,High School,Yes,NA,Too little,Too little,Too little,Too little,NA,NA,Too little,Clinton,NA,Disagree,black
49,Male,High School,Yes,"$10,000 ~ $19,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,1,NA,black
74,Male,Associate College,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,About right,Clinton,1,NA,black
54,Female,Bachelors,Yes,"$10,000 ~ $19,999",Too little,Too little,Too much,About right,NA,NA,Too little,Clinton,1,Neither,black
53,Male,Graduate,Yes,"$20,000 ~ $39,999",Too little,About right,Too much,About right,NA,NA,About right,Clinton,2,Strongly disagree,white
NA,Female,Bachelors,Yes,NA,Too little,Too little,Too much,Too little,NA,NA,About right,Clinton,3,NA,white
62,Male,High School,Yes,"$60,000 ~ $89,999",About right,Too much,About right,Too much,NA,NA,About right,Trump,1,Strongly agree,white
65,Female,Graduate,Yes,"$60,000 ~ $89,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,1,Neither,white
41,Female,Graduate,Yes,"$10,000 ~ $19,999",NA,NA,NA,NA,About right,Too much,Too little,Other,NA,NA,white
64,Female,Bachelors,Yes,"$90,000 ~ $129,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,1,Disagree,white
79,Female,Graduate,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,About right,About right,Clinton,NA,NA,white
75,Female,Bachelors,Yes,"$130,000 ~ $169,999",Too little,Too little,About right,Too little,NA,NA,About right,Clinton,2,Disagree,white
74,Male,Bachelors,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,NA,NA,black
65,Male,High School,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,About right,About right,Too little,Other,NA,NA,white
41,Female,Bachelors,Yes,"$90,000 ~ $129,999",Too little,Too little,Too much,Too much,NA,NA,Too little,Clinton,1,Neither,black
NA,NA,Graduate,Yes,NA,NA,NA,NA,NA,Too little,Too much,Too little,Clinton,NA,Disagree,white
57,Male,Bachelors,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,Too much,About right,Trump,NA,NA,white
36,Female,High School,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,NA,About right,Clinton,1,NA,hispanic
44,Female,High School,Yes,"$130,000 ~ $169,999",About right,Too much,About right,About right,NA,NA,Too little,Trump,1,Neither,white
67,Female,Less than high school,Yes,"$10,000 ~ $19,999",Too much,Too much,Too little,Too little,NA,NA,Too little,Trump,2,NA,other
45,Male,High School,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,About right,Too much,About right,Trump,1,Strongly agree,white
40,Female,Bachelors,Yes,"$170,000 or over",NA,NA,NA,NA,About right,About right,Too little,Clinton,NA,NA,white
57,Male,High School,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,NA,NA,white
69,Male,High School,Yes,"$60,000 ~ $89,999",Too little,NA,About right,About right,NA,NA,Too little,Clinton,NA,Agree,white
67,Male,Graduate,Yes,"$170,000 or over",Too little,Too little,About right,About right,NA,NA,Too little,Clinton,2,NA,asian
41,Female,High School,Yes,"$10,000 ~ $19,999",NA,NA,NA,NA,Too little,About right,About right,Clinton,2,NA,other
45,Female,High School,Yes,"Under $10,000",NA,NA,NA,NA,About right,Too much,Too little,Trump,NA,NA,asian
NA,Male,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,1,NA,white
52,Male,High School,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,2,NA,black
58,Female,High School,Yes,"$40,000 ~ $59,999",Too little,Too little,About right,Too little,NA,NA,Too little,Clinton,NA,Neither,black
NA,Female,Bachelors,Yes,NA,Too little,Too little,Too much,About right,NA,NA,About right,Other,NA,Strongly disagree,black
79,Female,Less than high school,Yes,"$60,000 ~ $89,999",Too little,Too little,Too little,About right,NA,NA,Too little,Clinton,2,NA,black
85,Female,High School,Yes,"$20,000 ~ $39,999",Too little,Too little,Too little,Too much,NA,NA,Too little,Clinton,1,NA,white
53,Female,High School,Yes,"$20,000 ~ $39,999",Too much,Too much,Too little,Too much,NA,NA,Too little,Trump,1,NA,white
39,Male,High School,Yes,"$40,000 ~ $59,999",Too little,Too little,Too much,Too much,NA,NA,Too little,Clinton,1,NA,black
50,Female,High School,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,NA,NA,white
37,Female,Bachelors,No,"$60,000 ~ $89,999",NA,NA,NA,NA,Too much,Too much,About right,Clinton,2,Strongly disagree,asian
37,Female,High School,Yes,"Under $10,000",NA,NA,NA,NA,Too little,About right,About right,Clinton,2,Neither,white
34,Female,High School,No,"Under $10,000",About right,About right,About right,Too much,NA,NA,About right,Clinton,NA,Neither,hispanic
63,Female,Graduate,Yes,"$170,000 or over",Too little,Too little,About right,About right,NA,NA,About right,Clinton,1,NA,white
70,Female,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,About right,Too little,Clinton,2,Strongly disagree,white
59,Male,High School,Yes,"$170,000 or over",Too little,Too much,Too little,Too much,NA,NA,Too little,Trump,1,NA,white
44,Female,High School,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,1,NA,white
78,Female,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,About right,Too little,Clinton,1,Disagree,black
46,Female,Graduate,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,1,NA,black
37,Male,Bachelors,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,Too much,Too little,Other,2,Agree,white
67,Male,High School,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,2,NA,white
NA,Male,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,About right,About right,About right,Clinton,1,Agree,white
47,Male,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,About right,Too much,About right,Trump,2,Neither,white
29,Female,Bachelors,Yes,"$90,000 ~ $129,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,1,NA,white
60,Female,Associate College,No,"$130,000 ~ $169,999",NA,NA,NA,NA,About right,Too much,About right,Clinton,2,Disagree,asian
35,Male,Graduate,No,"$90,000 ~ $129,999",Too little,Too little,Too much,Too little,NA,NA,About right,Clinton,NA,Strongly disagree,asian
43,Female,Associate College,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,1,Disagree,white
64,Female,High School,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,About right,Too much,Too little,Other,1,Neither,white
34,Female,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,About right,Too little,Clinton,NA,NA,white
32,Female,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,About right,About right,Other,1,Disagree,white
29,Female,High School,No,NA,NA,NA,NA,NA,Too little,About right,Too little,Trump,1,NA,other
42,Female,Graduate,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,About right,Clinton,NA,NA,white
74,Female,Bachelors,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too little,Too little,Clinton,1,NA,white
38,Male,Bachelors,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,About right,Too much,About right,Clinton,2,Neither,white
60,Female,Associate College,Yes,"$40,000 ~ $59,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,2,Strongly disagree,white
NA,Male,Associate College,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,NA,NA,white
52,Female,High School,Yes,"Under $10,000",Too little,Too little,Too much,NA,NA,NA,Too little,Clinton,NA,Strongly disagree,white
67,Male,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,NA,NA,white
57,Male,Bachelors,No,NA,NA,NA,NA,NA,Too little,Too little,Too little,Clinton,2,NA,white
NA,Male,Graduate,No,"$170,000 or over",Too little,Too little,About right,About right,NA,NA,About right,Clinton,NA,Disagree,asian
38,Female,Graduate,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,2,Disagree,white
67,Female,NA,Yes,NA,NA,NA,NA,NA,Too little,About right,Too little,Clinton,2,Disagree,other
58,Male,Graduate,Yes,NA,NA,NA,NA,NA,Too much,About right,About right,Other,NA,NA,other
33,Male,Graduate,No,"$90,000 ~ $129,999",Too little,Too much,About right,Too much,NA,NA,Too much,Other,NA,Disagree,white
72,Male,High School,Yes,"$40,000 ~ $59,999",Too little,Too little,About right,Too little,NA,NA,Too little,Clinton,1,Neither,black
30,Female,Graduate,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,About right,About right,Clinton,2,Strongly disagree,white
46,Male,High School,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,2,Neither,hispanic
34,Female,High School,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,1,NA,white
52,Male,Bachelors,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,Too much,Too little,Trump,1,Agree,white
39,Male,High School,Yes,"$20,000 ~ $39,999",Too little,About right,Too much,Too much,NA,NA,About right,Clinton,2,Agree,white
78,Female,Bachelors,Yes,"$60,000 ~ $89,999",About right,About right,About right,About right,NA,NA,Too little,Clinton,2,NA,white
27,Female,Associate College,Yes,NA,Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,1,Disagree,white
61,Female,High School,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,NA,NA,white
37,Male,High School,Yes,"$20,000 ~ $39,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,2,NA,white
25,Male,Bachelors,Yes,"Under $10,000",NA,NA,NA,NA,Too little,Too little,Too little,Clinton,2,Strongly disagree,white
32,Female,Graduate,Yes,NA,NA,NA,NA,NA,Too little,About right,About right,Clinton,1,NA,white
33,Male,Graduate,Yes,"$130,000 ~ $169,999",Too little,Too little,About right,About right,NA,NA,About right,Other,NA,Disagree,white
69,Male,Graduate,Yes,"$130,000 ~ $169,999",About right,About right,About right,About right,NA,NA,About right,Trump,2,NA,white
57,Female,High School,Yes,"$40,000 ~ $59,999",Too little,Too little,About right,Too little,NA,NA,About right,Clinton,NA,Neither,white
60,Male,Associate College,Yes,"$130,000 ~ $169,999",Too little,About right,Too little,Too much,NA,NA,Too little,Trump,2,Neither,white
NA,Male,Bachelors,Yes,NA,Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,2,NA,other
61,Male,Bachelors,Yes,"$90,000 ~ $129,999",Too little,Too little,Too much,Too much,NA,NA,About right,Trump,1,Neither,white
61,Male,High School,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too much,Too much,Too little,Trump,1,Agree,white
65,Female,High School,Yes,NA,NA,NA,NA,NA,About right,Too much,Too little,Trump,1,NA,white
37,Female,Bachelors,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,NA,NA,white
34,Female,High School,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,NA,NA,white
65,Male,Bachelors,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,About right,Too little,Clinton,1,Neither,white
NA,Female,Bachelors,Yes,"$40,000 ~ $59,999",Too little,Too little,About right,Too little,NA,NA,Too little,Clinton,NA,Disagree,white
29,Female,Bachelors,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,About right,Too much,Too much,Clinton,2,NA,other
67,Female,Bachelors,Yes,"$90,000 ~ $129,999",Too little,About right,About right,Too little,NA,NA,About right,Clinton,NA,Disagree,white
29,Female,Bachelors,Yes,"$90,000 ~ $129,999",Too little,About right,About right,Too much,NA,NA,Too little,Trump,1,Neither,white
69,Male,Bachelors,Yes,"$170,000 or over",NA,NA,NA,NA,About right,About right,Too little,Clinton,2,NA,white
44,Female,Bachelors,Yes,"$90,000 ~ $129,999",About right,About right,About right,About right,NA,NA,About right,Trump,2,NA,white
35,Male,Bachelors,No,"$60,000 ~ $89,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,2,Strongly disagree,white
57,Male,Bachelors,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,2,NA,white
NA,Female,Graduate,No,"$170,000 or over",Too little,Too little,Too much,Too little,NA,NA,About right,Clinton,NA,Strongly disagree,hispanic
60,Female,Graduate,Yes,"$130,000 ~ $169,999",Too little,Too little,Too much,Too little,NA,NA,About right,Clinton,2,NA,white
66,Male,High School,Yes,"$40,000 ~ $59,999",Too little,Too little,Too much,About right,NA,NA,Too little,Clinton,1,NA,white
32,Male,High School,Yes,"$130,000 ~ $169,999",Too little,About right,Too much,Too much,NA,NA,Too little,Clinton,NA,Disagree,white
72,Male,Bachelors,Yes,"$40,000 ~ $59,999",Too little,About right,About right,About right,NA,NA,Too little,Trump,2,NA,white
NA,Female,Associate College,Yes,"$60,000 ~ $89,999",Too little,Too little,About right,About right,NA,NA,Too little,Clinton,1,Neither,other
24,Male,Bachelors,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,2,Strongly disagree,white
76,Male,High School,Yes,"$20,000 ~ $39,999",About right,About right,About right,Too little,NA,NA,Too little,Trump,NA,Disagree,white
52,Female,High School,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,1,Strongly agree,white
64,Female,Graduate,Yes,"Under $10,000",Too little,Too little,About right,Too little,NA,NA,Too little,Clinton,NA,Disagree,black
42,Male,Associate College,Yes,"$90,000 ~ $129,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Other,NA,Disagree,white
39,Female,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too little,Too little,Clinton,3,Strongly disagree,white
66,Male,Bachelors,Yes,"$130,000 ~ $169,999",Too little,Too little,About right,Too much,NA,NA,About right,Other,NA,Disagree,white
63,Female,High School,Yes,"$60,000 ~ $89,999",Too little,About right,About right,Too much,NA,NA,Too much,Trump,1,Neither,white
59,Female,High School,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,Too much,About right,Trump,2,Neither,white
